,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[DISCRIM5_A_9.0],-0.012,0.086,-0.161,0.144,0.003,0.002,1341.0,611.0,1.0
beta[DISCRIM4_A_2.0],0.004,0.057,-0.108,0.136,0.002,0.001,1564.0,687.0,1.0
beta[DISCRIM4_A_3.0],-0.042,0.07,-0.194,0.07,0.002,0.001,1210.0,927.0,1.0
beta[DISCRIM4_A_4.0],-0.016,0.055,-0.135,0.1,0.002,0.001,1531.0,731.0,1.0
beta[DISCRIM4_A_5.0],0.012,0.045,-0.069,0.128,0.001,0.001,1648.0,880.0,1.0
beta[DISCRIM4_A_7.0],-0.004,0.079,-0.165,0.145,0.002,0.002,1215.0,719.0,1.0
beta[DISCRIM4_A_8.0],-0.001,0.07,-0.177,0.139,0.002,0.002,1569.0,917.0,1.0
beta[DISCRIM4_A_9.0],0.007,0.069,-0.143,0.166,0.002,0.002,1235.0,632.0,1.0
beta[DISCRIM3_A_2.0],0.074,0.093,-0.048,0.272,0.002,0.002,1186.0,956.0,1.0
beta[DISCRIM3_A_3.0],-0.032,0.056,-0.175,0.048,0.001,0.001,1254.0,700.0,1.0
beta[DISCRIM3_A_4.0],-0.018,0.046,-0.134,0.053,0.001,0.001,1703.0,976.0,1.0
beta[DISCRIM3_A_5.0],0.034,0.05,-0.051,0.138,0.001,0.001,1355.0,985.0,1.0
beta[DISCRIM3_A_7.0],-0.01,0.085,-0.187,0.148,0.003,0.002,1290.0,705.0,1.0
beta[DISCRIM3_A_8.0],0.003,0.068,-0.116,0.153,0.002,0.002,1255.0,888.0,1.0
beta[DISCRIM3_A_9.0],-0.03,0.105,-0.224,0.161,0.003,0.002,1416.0,785.0,1.0
beta[DISCRIM2_A_2.0],0.034,0.068,-0.063,0.202,0.002,0.001,1698.0,962.0,1.0
beta[DISCRIM2_A_3.0],-0.001,0.041,-0.095,0.084,0.001,0.001,1343.0,946.0,1.0
beta[DISCRIM2_A_4.0],0.002,0.039,-0.081,0.086,0.001,0.001,2079.0,915.0,1.0
beta[DISCRIM2_A_5.0],-0.03,0.049,-0.135,0.054,0.001,0.001,1117.0,887.0,1.0
beta[DISCRIM2_A_7.0],-0.013,0.089,-0.167,0.164,0.003,0.003,1369.0,710.0,1.01
beta[DISCRIM2_A_8.0],0.0,0.067,-0.166,0.12,0.002,0.001,1586.0,945.0,1.01
beta[DISCRIM2_A_9.0],-0.01,0.069,-0.162,0.133,0.002,0.002,1787.0,905.0,1.0
beta[DISCRIM1_A_2.0],-0.02,0.052,-0.156,0.06,0.001,0.001,1506.0,916.0,1.0
beta[DISCRIM1_A_3.0],0.051,0.06,-0.029,0.183,0.002,0.001,1300.0,860.0,1.0
beta[DISCRIM1_A_4.0],-0.047,0.06,-0.178,0.041,0.002,0.001,1028.0,819.0,1.0
beta[DISCRIM1_A_5.0],-0.021,0.043,-0.106,0.066,0.001,0.001,1243.0,921.0,1.0
beta[DISCRIM1_A_7.0],-0.012,0.085,-0.178,0.139,0.003,0.002,1378.0,720.0,1.0
beta[DISCRIM1_A_8.0],-0.008,0.067,-0.169,0.112,0.002,0.002,1292.0,861.0,1.0
beta[DISCRIM1_A_9.0],0.004,0.066,-0.136,0.13,0.002,0.002,1246.0,823.0,1.0
beta[PHQ44_A_2.0],0.009,0.041,-0.063,0.113,0.001,0.001,1476.0,782.0,1.0
beta[PHQ44_A_3.0],-0.001,0.054,-0.102,0.137,0.001,0.001,2049.0,852.0,1.0
beta[PHQ44_A_4.0],0.014,0.055,-0.095,0.145,0.001,0.001,1974.0,949.0,1.0
beta[PHQ44_A_7.0],-0.009,0.082,-0.16,0.163,0.002,0.002,1609.0,892.0,1.0
beta[PHQ44_A_8.0],-0.009,0.075,-0.183,0.132,0.003,0.002,1225.0,857.0,1.0
beta[PHQ44_A_9.0],0.008,0.076,-0.146,0.17,0.002,0.002,1530.0,730.0,1.0
beta[PHQ43_A_2.0],0.026,0.043,-0.043,0.122,0.001,0.001,1252.0,612.0,1.0
beta[PHQ43_A_3.0],-0.029,0.061,-0.15,0.092,0.002,0.002,1479.0,826.0,1.0
beta[PHQ43_A_4.0],0.02,0.056,-0.083,0.14,0.001,0.001,1568.0,797.0,1.0
beta[PHQ43_A_7.0],-0.012,0.078,-0.173,0.136,0.002,0.002,1898.0,885.0,1.0
beta[PHQ43_A_8.0],-0.008,0.075,-0.175,0.129,0.002,0.002,1462.0,897.0,1.0
beta[PHQ43_A_9.0],-0.01,0.083,-0.168,0.142,0.003,0.003,1222.0,737.0,1.0
beta[PHQ42_A_2.0],0.021,0.045,-0.047,0.128,0.001,0.001,1471.0,884.0,1.0
beta[PHQ42_A_3.0],0.003,0.054,-0.11,0.12,0.002,0.001,1527.0,804.0,1.01
beta[PHQ42_A_4.0],0.024,0.064,-0.1,0.179,0.002,0.002,1093.0,669.0,1.0
beta[PHQ42_A_7.0],-0.012,0.071,-0.171,0.11,0.002,0.002,1747.0,1041.0,1.0
beta[PHQ42_A_8.0],-0.007,0.074,-0.181,0.14,0.002,0.002,1567.0,822.0,1.0
beta[PHQ42_A_9.0],-0.001,0.068,-0.155,0.14,0.003,0.002,1404.0,728.0,1.0
beta[PHQ41_A_2.0],0.024,0.047,-0.058,0.129,0.001,0.001,1690.0,734.0,1.0
beta[PHQ41_A_3.0],0.021,0.056,-0.069,0.166,0.001,0.001,1970.0,917.0,1.0
beta[PHQ41_A_4.0],0.02,0.059,-0.086,0.148,0.002,0.001,1377.0,960.0,1.0
beta[PHQ41_A_7.0],-0.009,0.072,-0.186,0.107,0.002,0.002,1546.0,704.0,1.0
beta[PHQ41_A_8.0],-0.001,0.068,-0.163,0.123,0.002,0.002,1521.0,598.0,1.0
beta[PHQ41_A_9.0],-0.007,0.077,-0.134,0.157,0.003,0.003,1369.0,731.0,1.0
beta[MHTHND_A_2.0],0.016,0.051,-0.081,0.138,0.002,0.001,1260.0,783.0,1.0
beta[MHTHND_A_7.0],0.003,0.064,-0.136,0.127,0.002,0.001,1726.0,769.0,1.01
beta[MHTHND_A_8.0],-0.003,0.068,-0.173,0.118,0.002,0.002,1419.0,713.0,1.01
beta[MHTHND_A_9.0],-0.006,0.078,-0.202,0.135,0.002,0.002,1681.0,739.0,1.0
beta[MHTHDLY_A_2.0],0.007,0.047,-0.082,0.121,0.001,0.001,1472.0,856.0,1.0
beta[MHTHDLY_A_7.0],0.0,0.077,-0.145,0.166,0.003,0.002,1250.0,750.0,1.0
beta[MHTHDLY_A_8.0],-0.003,0.067,-0.148,0.142,0.002,0.002,1585.0,878.0,1.0
beta[MHTHDLY_A_9.0],-0.002,0.078,-0.161,0.157,0.003,0.002,1150.0,577.0,1.0
beta[MHTHRPY_A_2.0],0.014,0.041,-0.062,0.107,0.001,0.001,1470.0,902.0,1.0
