,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[ANGEV_A_7.0],0.001,0.084,-0.165,0.138,0.003,0.002,1759.0,651.0,1.0
beta[ANGEV_A_9.0],-0.002,0.068,-0.152,0.12,0.002,0.002,1808.0,889.0,1.01
beta[CHDEV_A_2.0],-0.011,0.053,-0.126,0.086,0.002,0.001,1499.0,888.0,1.0
beta[CHDEV_A_7.0],0.004,0.079,-0.146,0.159,0.002,0.002,1864.0,855.0,1.0
beta[CHDEV_A_9.0],-0.011,0.082,-0.166,0.127,0.003,0.002,1468.0,760.0,1.0
beta[CHLEV_A_2.0],-0.016,0.037,-0.099,0.05,0.001,0.001,1759.0,827.0,1.0
beta[CHLEV_A_7.0],-0.002,0.071,-0.134,0.152,0.003,0.002,1093.0,730.0,1.0
beta[CHLEV_A_9.0],-0.013,0.093,-0.187,0.151,0.003,0.002,1613.0,886.0,1.0
beta[HYPEV_A_2.0],-0.063,0.061,-0.184,0.024,0.002,0.001,777.0,802.0,1.0
beta[HYPEV_A_7.0],-0.0,0.072,-0.155,0.155,0.002,0.002,1395.0,860.0,1.0
beta[HYPEV_A_9.0],-0.001,0.063,-0.133,0.131,0.002,0.002,1514.0,916.0,1.0
beta[LSATIS4_A_2.0],0.004,0.033,-0.075,0.067,0.001,0.001,1529.0,756.0,1.0
beta[LSATIS4_A_3.0],0.038,0.067,-0.064,0.186,0.002,0.001,1586.0,846.0,1.0
beta[LSATIS4_A_4.0],0.002,0.065,-0.138,0.122,0.002,0.002,1817.0,905.0,1.0
beta[LSATIS4_A_7.0],-0.008,0.074,-0.161,0.133,0.002,0.002,1350.0,977.0,1.0
beta[LSATIS4_A_9.0],-0.001,0.086,-0.16,0.175,0.003,0.002,1574.0,911.0,1.0
beta[PHSTAT_A_2.0],0.001,0.035,-0.073,0.077,0.001,0.001,1503.0,858.0,1.0
beta[PHSTAT_A_3.0],0.041,0.05,-0.024,0.153,0.002,0.001,1030.0,948.0,1.0
beta[PHSTAT_A_4.0],0.069,0.076,-0.04,0.246,0.003,0.002,746.0,855.0,1.0
beta[PHSTAT_A_5.0],0.029,0.066,-0.065,0.188,0.002,0.002,1706.0,946.0,1.0
beta[PHSTAT_A_7.0],0.0,0.072,-0.174,0.142,0.002,0.002,1619.0,791.0,1.01
beta[PHSTAT_A_9.0],0.003,0.071,-0.121,0.15,0.002,0.002,1973.0,881.0,1.0
beta[AVAIL_A_2.0],0.005,0.071,-0.14,0.156,0.002,0.002,1330.0,731.0,1.0
beta[AVAIL_A_3.0],-0.039,0.089,-0.267,0.082,0.003,0.002,1821.0,823.0,1.0
beta[AVAIL_A_7.0],-0.002,0.065,-0.148,0.139,0.002,0.002,928.0,633.0,1.01
beta[AVAIL_A_8.0],-0.006,0.063,-0.154,0.121,0.002,0.002,2064.0,870.0,1.0
beta[INTV_MON_2.0],0.006,0.044,-0.088,0.101,0.001,0.001,1471.0,865.0,1.01
beta[INTV_MON_3.0],0.019,0.044,-0.072,0.114,0.001,0.001,1424.0,776.0,1.0
beta[INTV_MON_4.0],-0.028,0.052,-0.149,0.064,0.001,0.001,1542.0,795.0,1.0
beta[INTV_MON_5.0],0.032,0.057,-0.064,0.151,0.002,0.001,1324.0,920.0,1.0
beta[INTV_MON_6.0],0.009,0.047,-0.079,0.116,0.001,0.001,1785.0,746.0,1.0
beta[INTV_MON_7.0],0.001,0.047,-0.106,0.094,0.001,0.001,1552.0,873.0,1.0
beta[INTV_MON_8.0],-0.002,0.042,-0.096,0.089,0.001,0.001,1404.0,847.0,1.0
beta[INTV_MON_9.0],0.005,0.044,-0.088,0.106,0.001,0.001,1721.0,888.0,1.0
beta[INTV_MON_10.0],-0.005,0.047,-0.117,0.094,0.001,0.001,1523.0,879.0,1.0
beta[INTV_MON_11.0],-0.004,0.045,-0.094,0.1,0.001,0.001,1563.0,731.0,1.0
beta[INTV_MON_12.0],-0.044,0.069,-0.198,0.061,0.002,0.001,1722.0,950.0,1.0
